
2026/04/11 (18:56:28) | ===> btop++ v.1.3.2
2026/04/11 (18:56:28) | INFO: Logger set to DEBUG
2026/04/11 (18:56:29) | INFO: Logger set to INFO

2026/04/12 (22:22:57) | ===> btop++ v.1.3.2
2026/04/12 (22:22:57) | WARNING: Failed to join _runner thread on exit!

2026/04/15 (19:53:43) | ===> btop++ v.1.3.2
2026/04/15 (19:53:43) | WARNING: Failed to join _runner thread on exit!

2026/04/15 (20:03:27) | ===> btop++ v.1.3.2
2026/04/15 (20:03:27) | WARNING: Failed to join _runner thread on exit!

2026/04/15 (23:48:38) | ===> btop++ v.1.3.2
2026/04/15 (23:48:38) | WARNING: Failed to join _runner thread on exit!

2026/04/16 (20:47:12) | ===> btop++ v.1.3.2
2026/04/16 (20:47:13) | ERROR: Stall in Runner thread, restarting!

2026/04/17 (22:17:50) | ===> btop++ v.1.3.2
2026/04/17 (22:17:52) | ERROR: Stall in Runner thread, restarting!
2026/04/17 (22:18:01) | ERROR: Stall in Runner thread, restarting!

2026/04/17 (22:25:10) | ===> btop++ v.1.3.2
2026/04/17 (22:25:10) | ERROR: Exception during Config::unlock() : unordered_map::at

2026/04/18 (09:40:05) | ===> btop++ v.1.3.2
2026/04/18 (09:40:07) | ERROR: Stall in Runner thread, restarting!

2026/04/24 (11:04:42) | ===> btop++ v.1.3.2
2026/04/24 (11:04:42) | WARNING: Failed to join _runner thread on exit!

2026/04/27 (22:20:32) | ===> btop++ v.1.3.2
2026/04/27 (22:20:32) | WARNING: Failed to join _runner thread on exit!

2026/04/28 (09:26:48) | ===> btop++ v.1.3.2
2026/04/28 (09:26:48) | WARNING: Failed to join _runner thread on exit!

2026/05/28 (12:06:06) | ===> btop++ v.1.3.2
2026/05/28 (12:06:06) | WARNING: Failed to join _runner thread on exit!

2026/04/30 (13:36:25) | ===> btop++ v.1.3.2
2026/04/30 (13:36:25) | WARNING: Failed to join _runner thread on exit!

2026/04/30 (16:50:40) | ===> btop++ v.1.3.2
2026/04/30 (16:50:40) | WARNING: Failed to join _runner thread on exit!

2026/04/30 (17:27:08) | ===> btop++ v.1.3.2
2026/04/30 (17:27:08) | WARNING: Failed to join _runner thread on exit!

2026/04/30 (19:50:46) | ===> btop++ v.1.3.2
2026/04/30 (19:50:46) | WARNING: Failed to join _runner thread on exit!

2026/04/30 (19:54:40) | ===> btop++ v.1.3.2
2026/04/30 (19:54:40) | WARNING: Failed to join _runner thread on exit!

2026/05/01 (08:09:58) | ===> btop++ v.1.3.2
2026/05/01 (08:09:58) | WARNING: Failed to join _runner thread on exit!

2026/05/01 (10:48:08) | ===> btop++ v.1.3.2
2026/05/01 (10:48:08) | WARNING: Failed to join _runner thread on exit!

2026/05/01 (21:53:58) | ===> btop++ v.1.3.2
2026/05/01 (21:53:58) | WARNING: Failed to join _runner thread on exit!

2026/05/02 (18:32:20) | ===> btop++ v.1.3.2
2026/05/02 (18:32:20) | WARNING: Failed to join _runner thread on exit!

2026/05/02 (18:53:01) | ===> btop++ v.1.3.2
2026/05/02 (18:53:01) | WARNING: Failed to join _runner thread on exit!

2026/05/02 (19:00:29) | ===> btop++ v.1.3.2
2026/05/02 (19:00:29) | WARNING: Failed to join _runner thread on exit!

2026/05/03 (05:28:05) | ===> btop++ v.1.3.2
2026/05/03 (05:28:05) | WARNING: Failed to join _runner thread on exit!

2026/05/06 (11:37:56) | ===> btop++ v.1.3.2
2026/05/06 (11:38:00) | ERROR: Stall in Runner thread, restarting!

2026/05/07 (05:55:45) | ===> btop++ v.1.3.2
2026/05/07 (05:55:45) | WARNING: Failed to join _runner thread on exit!

2026/05/07 (08:03:06) | ===> btop++ v.1.3.2
2026/05/07 (08:03:06) | WARNING: Failed to join _runner thread on exit!

2026/05/10 (13:27:03) | ===> btop++ v.1.3.2
2026/05/10 (13:27:03) | WARNING: Failed to join _runner thread on exit!

2026/05/10 (13:28:41) | ===> btop++ v.1.3.2
2026/05/10 (13:28:41) | WARNING: Failed to join _runner thread on exit!

2026/06/09 (15:32:20) | ===> btop++ v.1.3.2
2026/06/09 (15:32:20) | WARNING: Failed to join _runner thread on exit!

2026/05/11 (05:47:47) | ===> btop++ v.1.3.2
2026/05/11 (05:47:47) | WARNING: Failed to join _runner thread on exit!

2026/05/17 (15:33:04) | ===> btop++ v.1.3.2
2026/05/17 (15:33:04) | WARNING: Failed to join _runner thread on exit!
